date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:38	358/358	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa9-166%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fr.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/fr.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:38	338/338	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f8d-152%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/ga.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/ga.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:38	369/369	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa9-171%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/ga.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/ga.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:39	1005/1005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f8e-3ed%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gb.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gb.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:39	960/960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378faa-3c0%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/gb.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/gb.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:39	2010/2010	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f91-7da%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gd.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gd.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:39	1920/1920	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fad-780%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/gd.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/gd.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:40	1201/1201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f93-4b1%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/ge.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/ge.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:40	1194/1194	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fae-4aa%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/ge.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/ge.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:40	271/271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f91-10f%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gf.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/gf.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
